SYN,Task,Buffer,TestCase,SVAR,Def-Use,Plnv,Race,Task,Buffer,TestCase,SVAR,Def-Use,Plnv,Race
8,2,1,1,7.77E-05,0.027777778,0.111111111,0,2,1,1,7.77E-05,0.027777778,0.111111111,0
16,4,1,1,7.77E-05,0.014705882,0.114285714,0,4,1,1,7.77E-05,0.014705882,0.114285714,0
24,6,1,46,0.0004662,0.043333333,0.18757259,14,6,1,4,0.00013468,0.016666667,0.119047619,2
32,8,1,1,7.77E-05,0.007575758,0.109649123,0,8,1,1,7.77E-05,0.007575758,0.109649123,0
34,10,1,54,0.002703001,0.132773109,0.242634797,24,10,1,4,0.000563891,0.011764706,0.15897721,2
44,12,1,1,0.000142857,0.006060606,0.117333764,0,12,1,1,0.000142857,0.006060606,0.117333764,0
44,14,1,44,0.005029947,0.102020202,0.298658816,40,14,1,8,0.001822842,0.013131313,0.211318286,6
38,16,1,26,0.015670382,0.075573549,0.323842593,28,16,1,9,0.010435664,0.018893387,0.272916667,6
44,18,1,263,0.022958404,0.093939394,0.40306644,44,18,1,13,0.004408363,0.017171717,0.160988075,8
80,20,1,27,0.000258864,0.017901235,0.156769374,24,20,1,4,0.000110007,0.003703704,0.131372549,2
