2,10340236,send,1
4,10340236,send,1
6,10340236,send,1
12,10340236,send,1
14,10340236,send,1
16,10340236,send,1
8,10340236,send,1
18,10340236,send,1
10,10340236,send,1
2,10340236,send,2
4,10340236,send,2
6,10340236,send,2
12,10340236,send,2
14,10340236,send,2
16,10340236,send,2
8,10340236,send,2
18,10340236,send,2
10,10340236,send,2
2,10340236,send,3
4,10340236,send,3
6,10340236,send,3
12,10340236,send,3
14,10340236,send,3
16,10340236,send,3
8,10340236,send,3
18,10340236,send,3
10,10340236,send,3
2,10340236,send,4
4,10340236,send,4
6,10340236,send,4
12,10340236,send,4
14,10340236,send,4
16,10340236,send,4
8,10340236,send,4
18,10340236,send,4
10,10340236,send,4
